file	width	height
04_023v	3970	2891
04_024r	2981	3970
04_024v	2891	3970
04_025r	2981	3970
04_025v	3970	2891
04_026r	2981	3970
04_026v	3970	2891
04_027r	2981	3970
04_027v	2891	3970
04_028r	2981	3970
04_028v	2891	3970
04_029r	2981	3970
04_029v	2891	3970
04_030r	2981	3970
04_030v	2923	3970
04_031r	3013	3970
04_031v	2923	3970
04_032r	3013	3970
04_032v	2923	3970
04_033r	3013	3970
04_033v	2923	3970
04_034r	3013	3970
04_034v	2923	3970
04_035r	3013	3970
04_035v	2923	3970
04_036r	3013	3970
04_036v	2923	3970
04_037r	3013	3970
04_037v	2923	3970
04_038r	3013	3970
04_038v	2923	3970
04_039r	3013	3970
04_039v	2923	3970
04_040r	3013	3970
04_040v	2923	3970
04_041r	3013	3970
04_041v	2923	3970
04_042r	3013	3970
04_042v	2923	3970
04_043r	3013	3970
04_043v	2923	3970
04_044r	3013	3970
04_044v	2987	3970
04_045r	2988	3970
04_045v	2987	3970
04_046r	2988	3970
04_046v	2987	3970
04_047r	2988	3970
04_047v	3970	2987
04_048r	2988	3970
04_048v	2987	3970
04_049r	2988	3970
04_049v	2987	3970
04_050r	2988	3970
04_050v	2987	3970
04_051r	2988	3970
04_051v	2987	3970
04_052r	2988	3970
04_052v	2987	3970
04_053r	2988	3970
04_053v	2987	3970
04_054r	2988	3970
04_054v	2987	3970
04_055r	2988	3970
04_055v	2987	3970
04_056r	2988	3970
04_056v	2987	3970
04_057r	2987	3970
04_057v	2987	3970
04_058r	2987	3970
04_058v	2987	3970
04_059r	2987	3970
04_059v	2987	3970
04_060r	2987	3970
04_060v	2987	3970
04_061r	2987	3970
04_061v	2987	3970
04_062r	2987	3970
04_062v	2987	3970
04_063r	2987	3970
04_063v	2987	3970
04_064r	2987	3970
04_064v	2987	3970
04_065r	2987	3970
04_065v	2987	3970
04_066r	2987	3970
04_066v	2987	3970
04_067r	2987	3970
04_067v	3970	2987
04_068r	2987	3970
04_068v	2987	3970
04_069r	2987	3970
04_069v	2987	3970
04_070r	2987	3970
04_070v	2987	3970
04_071r	2987	3970
04_071v	2987	3970
04_072r	2987	3970
04_072v	2987	3970
04_073r	2987	3970
04_073v	2987	3970
04_074r	2987	3970
04_074v	3970	2987
04_075r	2987	3970
04_075v	2987	4044
04_076r	2987	4044
04_076v	4044	2987
04_077r	2987	4044
04_077v	2987	4044
04_078r	2987	4044
04_078v	4044	2987
04_079r	2987	4044
04_079v	2987	4044
04_080r	2987	4044
04_080v	2987	4044
04_081r	2987	4044
04_081v	2987	4044
04_082r	2987	4044
04_082v	4044	2987
04_083r	2987	4044
04_083v	2987	4044
04_084r	2987	4044
04_084v	2987	4044
04_085r	2987	4044
