filza	page	status	trans	scan
03	038v	OK	yes	yes
03	039r	OK	yes	yes
03	039v	OK	yes	yes
03	040r	OK	yes	yes
03	040v	OK	yes	yes
03	041r	OK	yes	yes
03	041v	OK	yes	yes
03	042r	OK	yes	yes
03	042v	OK	yes	yes
03	043r	OK	yes	yes
03	043v	OK	yes	yes
03	044r	OK	yes	yes
03	044v	OK	yes	yes
03	045r	OK	yes	yes
03	045v	OK	yes	yes
03	046r	OK	yes	yes
03	046v	OK	yes	yes
03	047r	OK	yes	yes
03	047v	OK	yes	yes
03	048r	OK	yes	yes
03	048v	OK	yes	yes
03	049r	OK	yes	yes
03	049v	OK	yes	yes
03	050r	OK	yes	yes
03	050v	OK	yes	yes
03	051r	OK	yes	yes
03	051v	OK	yes	yes
03	052r	OK	yes	yes
03	052v	OK	yes	yes
03	053r	OK	yes	yes
03	053v	OK	yes	yes
03	054r	OK	yes	yes
03	054v	OK	yes	yes
03	055r	OK	yes	yes
03	055v	OK	yes	yes
03	056r	OK	yes	yes
03	056v	OK	yes	yes
03	057r	OK	yes	yes
03	057v	OK	yes	yes
03	058r	OK	yes	yes
03	058v	OK	yes	yes
03	059r	OK	yes	yes
03	059v	OK	yes	yes
03	060r	OK	yes	yes
03	060v	OK	yes	yes
03	061r	OK	yes	yes
03	061v	OK	yes	yes
03	062r	OK	yes	yes
03	062v	OK	yes	yes
03	063r	OK	yes	yes
03	063v	OK	yes	yes
03	064r	OK	yes	yes
03	064v	OK	yes	yes
03	065r	OK	yes	yes
03	065v	OK	yes	yes
03	066r	OK	yes	yes
03	066v	OK	yes	yes
03	067r	OK	yes	yes
03	067v	OK	yes	yes
03	068r	OK	yes	yes
03	068v	OK	yes	yes
03	069r	OK	yes	yes
03	069v	OK	yes	yes
03	070r	OK	yes	yes
03	070v	OK	yes	yes
03	071r	OK	yes	yes
03	071v	OK	yes	yes
03	072r	OK	yes	yes
03	072v	OK	yes	yes
03	073r	OK	yes	yes
03	073v	OK	yes	yes
03	074r	OK	yes	yes
03	074v	OK	yes	yes
03	075r	OK	yes	yes
03	075v	OK	yes	yes
03	076r	OK	yes	yes
03	076v	OK	yes	yes
03	077r	OK	yes	yes
03	077v	OK	yes	yes
03	078r	OK	yes	yes
03	078v	OK	yes	yes
03	079r	OK	yes	yes
03	079v	OK	yes	yes
03	080r	OK	yes	yes
03	080v	OK	yes	yes
03	081r	OK	yes	yes
03	081v	OK	yes	yes
03	082r	OK	yes	yes
03	082v	OK	yes	yes
03	083r	OK	yes	yes
03	083v	OK	yes	yes
03	084r	OK	yes	yes
03	084v	OK	yes	yes
03	085r	OK	yes	yes
03	085v	OK	yes	yes
03	086r	OK	yes	yes
03	086v	OK	yes	yes
03	087r	OK	yes	yes
03	087v	OK	yes	yes
03	088r	OK	yes	yes
03	088v	OK	yes	yes
03	089r	OK	yes	yes
03	089v	OK	yes	yes
03	090r	OK	yes	yes
03	090v	OK	yes	yes
03	091r	OK	yes	yes
03	091v	OK	yes	yes
03	092r	OK	yes	yes
03	092v	OK	yes	yes
03	093r	OK	yes	yes
03	093v	OK	yes	yes
03	094r	OK	yes	yes
03	094v	OK	yes	yes
03	095r	OK	yes	yes
03	095v	OK	yes	yes
03	096r	OK	yes	yes
03	096v	OK	yes	yes
03	097r	OK	yes	yes
03	097v	OK	yes	yes
03	098r	OK	yes	yes
03	098v	OK	yes	yes
03	099r	OK	yes	yes
03	099v	OK	yes	yes
03	100r	OK	yes	yes
03	100v	OK	yes	yes
03	101r	OK	yes	yes
03	101v	OK	yes	yes
03	102r	OK	yes	yes
03	102v	OK	yes	yes
03	103r	OK	yes	yes
03	103v	OK	yes	yes
03	104r	OK	yes	yes
03	104v	OK	yes	yes
03	105r	OK	yes	yes
03	105v	OK	yes	yes
03	106r	OK	yes	yes
03	106v	OK	yes	yes
03	107r	OK	yes	yes
03	107v	OK	yes	yes
03	108r	OK	yes	yes
03	108v	OK	yes	yes
03	109r	OK	yes	yes
03	109v	OK	yes	yes
03	110r	OK	yes	yes
03	110v	OK	yes	yes
03	111r	OK	yes	yes
03	111v	OK	yes	yes
03	112r	OK	yes	yes
03	112v	OK	yes	yes
03	113r	OK	yes	yes
03	113v	OK	yes	yes
03	114r	OK	yes	yes
03	114v	OK	yes	yes
03	115r	OK	yes	yes
03	115v	OK	yes	yes
03	116r	OK	yes	yes
03	116v	OK	yes	yes
03	117r	OK	yes	yes
03	117v	OK	yes	yes
03	118r	OK	yes	yes
03	118v	OK	yes	yes
03	119r	OK	yes	yes
03	119v	OK	yes	yes
03	120r	OK	yes	yes
03	120v	OK	yes	yes
03	121r	OK	yes	yes
03	121v	OK	yes	yes
03	122r	OK	yes	yes
03	122v	OK	yes	yes
03	123r	OK	yes	yes
03	123v	OK	yes	yes
03	124r	OK	yes	yes
